code,name,academic_units
AAA08B,FASHION & DESIGN: WEARABLE ART AS A SECOND SKIN,3
AAA08C,EXPRESSIVE DRAWING: DEVELOPING PERSONAL APPROACH & STYLE,3
AAA08D,ABSTRACT PAINTING: WHY IT'S HERE & HOW IT'S MADE,3
AAA18D,LIFE DRAWING,3
AAA18E,DRAWING,3
AAA18H,PAINTING WITH OIL & ACRYLIC,3
AAA18J,PAINTING WITH WATERCOLOUR,3
AAA18K,COMMUNICATION DESIGN,3
AAA18L,SILKSCREEN PRINTING,3
AAA18M,BATIK,3
AAA18Q,PRINTMAKING,3
AAA18R,SCULPTURE,3
AAA28C,DIGITAL MEDIA & VISUAL ARTS: STILL IMAGING,3
AAA28E,VISUAL ARTS IN ASIA,3
AAA28J,DIGITAL MEDIA & VISUAL ARTS:MOVING IMAGE,3
AAA28R,CERAMICS I,3
AAA28S,CERAMICS II,3
AAB20D,ECOLOGY,3
AAC18A,CHINESE CALLIGRAPHY,3
AAD08A,MALAY IN CONTEXT,3
AAE18B,LANGUAGE IN CONTEXT,3
AAE18C,EXPLORING THE GRAMMAR OF ENGLISH,3
AAE18D,EXPLORING THE WORDS & SOUNDS OF ENGLISH,3
AAE18E,INTRODUCTION TO LINGUISTICS,3
AAE28B,INTRODUCTION TO CHILDREN'S LITERATURE,3
AAE28C,THE SOCIAL VARIATION OF LANGUAGE,3
AAE28E,THE ROLE OF LANGUAGE IN EDUCATION,3
AAF08A,MALAY PERFORMING ARTS,3
AAF08B,APPRECIATING MULTICULTURALISM THROUGH STORY,3
AAG28C,UNDERSTANDING TOURISM,3
AAG28E,INTRODUCTION TO GEOGRAPHICAL INFORMATION SYSTEMS,3
AAG28H,URBAN GEOGRAPHY,3
AAG38A,CITIES OF THE WORLD,3
AAI08A,PIANO ENSEMBLE,3
AAI08B,SINGING WITH FREEDOM,3
AAI08C,POPULAR MUSIC ARRANGEMENT WITH TECHNOLOGY,3
AAI16A,FOUNDATIONS IN MUSIC STUDIES I,3
AAI16B,BAROQUE & CLASSICAL MUSICAL PRACTICES,3
AAI16C,ROMANTIC & 20TH CENTURY MUSICAL PRACTICES,3
AAI16E,WORLD MUSICS IN EDUCATION,3
AAI16G,COMPOSING & ARRANGING,3
AAI16H,AURAL SKILLS FOR THE 21ST CENTURY MUSICIAN,3
AAI16K,ETHNOMUSICOLOGY IN THE SINGAPORE CONTEXT,3
AAI26A,FOUNDATIONS IN MUSIC STUDIES II,3
AAI26B,MUSIC THEORY FOR DIVERSE SONIC WORLDS II,3
AAI28C,PERCUSSION,3
AAI28D,STUDIES IN INDONESIAN GAMELAN I,3
AAI38C,CLASSICAL GUITAR I,3
AAI38D,CHOIR I,3
AAI38E,CHOIR II,3
AAI38J,BAND I,3
AAI38K,BAND II,3
AAI38Q,VOICE,3
AAI38R,CONDUCTING,3
AAI48A,STUDIES IN CHINESE MUSIC,3
AAI48B,STUDIES IN MALAY MUSIC,3
AAI48D,CHOIR III,3
AAI48E,CHOIR IV,3
AAI48G,STUDIES IN POP AND JAZZ,3
AAI48J,BAND III,3
AAI48K,BAND IV,3
AAL18A,GLOBALISATION: AN INTRODUCTION,3
AAL28A,SINGAPORE STUDIES,3
AAL28E,IDENTITIES IN A DIVERSE WORLD,3
AAM18A,MATHEMATICS AROUND US,3
AAQ10A,PRINCIPLES OF NUTRITION,3
AAQ20E,APPLIED NUTRITION,3
AAR08A,LITERATURES OF SOUTHEAST ASIA,3
AAT08A,TAMIL DIASPORA SOCIAL LIFE & LANGUAGE USE,3
AAU08A,THEATRE GAMES: ENGAGEMENT THROUGH PLAY,3
AAU28A,DRAMA AS ENGAGED & COLLABORATIVE LEARNING,3
AAU28C,TWENTY-FIRST CENTURY LEARNING THROUGH THEATRE & DRAMA,3
AB0301,LEGAL & ETHICAL ISSUES IN SUSTAINABILITY,3
AB0403,DECISION MAKING WITH PROGRAMMING & ANALYTICS,3
AB0602,COMMUNICATION MANAGEMENT STRATEGIES,4
AB0603,SOCIAL ENTREPRENEURSHIP,3
AB1201,FINANCIAL MANAGEMENT,3
AB1202,STATISTICS & ANALYSIS,3
AB1301,BUSINESS LAW,3
AB1403,INTERMEDIATE EXCEL,1
AB1501,MARKETING,3
AB1601,ORGANISATIONAL BEHAVIOUR & DESIGN,3
AB2008,CAREERS FUTURE FORWARD,1
AB3601,STRATEGIC MANAGEMENT,4
AB3602,STRATEGIC MANAGEMENT,3
AB5101,BUSINESS VALUATION: FROM THEORY TO PRACTICE,3
AB5102,FORENSIC ACCOUNTING & FRAUD INVESTIGATION,3
AB5103,ACCOUNTING & AUDIT ANALYTICS,3
AB5601,NEGOTIATE TO GET WHAT YOU WANT: STRATEGY & PRACTICE,4
AB5602,LEADERSHIP IN ORGANISATIONS,4
AC1103,ACCOUNTING I,4
AC1104,ACCOUNTING II,4
AC2101,ACCOUNTING RECOGNITION & MEASUREMENT,4
AC2104,ASSURANCE & AUDITING,4
AC2105,ACCOUNTING FOR DECISION MAKING & CONTROL,4
AC2301,PRINCIPLES OF TAXATION,4
AC2302,COMPANY LAW & CORPORATE GOVERNANCE,4
AC2401,ACCOUNTING INFORMATION SYSTEMS,4
