code,name,academic_units,description
AAA08B,FASHION & DESIGN: WEARABLE ART AS A SECOND SKIN,3,"Develop process skills in expression and visual articulation through the creation of wearable art works as a second skin. It is an initiation into fashion design and illustration world and will focus on the fundamentals of creating form, controlling volume and surface treatments for the body. Students of this hands-on class will experience illustrating their creations as well constructing their works to achieve a wearable art work.

Attendance is a requirement as there are continual and formative assessments."
AAA08C,EXPRESSIVE DRAWING: DEVELOPING PERSONAL APPROACH & STYLE,3,"Students will learn a brief history of expressive style in drawing and will learn about current drawing practices in contemporary art. Through a self-guided library search they will find and explore and investigate the work of artists who use expressive drawing. This investigation will help students to develop and enhance their studio art-making experience and deepen their understanding of the role of drawing in human development and in art. Students will learn a variety of traditional and frequently used drawing techniques and materials used in past and current artworks. They will also decide upon and experiment with the use of alternative drawing materials. In consultation with the lecturer, students will decide to create either six small finished drawings or two larger finished drawings with accompanying preparation drawings, technique/material experiments and other evidence of their working process. The final artworks must utilize materials introduced at the beginning of the course and may incorporate alternative materials. Through the development and making process students will acquire working methods, research skills and technical knowledge necessary to successfully realize their own uniquely expressive drawings. They will also develop an understanding of the importance of drawing in history and an awareness of its relevance in contemporary art issues.

Attendance is a requirement as there are continual and formative assessments."
AAA08D,ABSTRACT PAINTING: WHY IT'S HERE & HOW IT'S MADE,3,"Students will learn a brief history of abstraction in art and will learn about why abstraction continues as a form in contemporary art. Through a self-guided library search they will explore their own ideas and preferences as a means of developing and enhancing their studio art-making experience. Students will also learn basic painting techniques used in many abstract artworks and will learn about the use of alternative materials. In consultation with the lecturer, students will produce two major artworks with accompanying preparation drawings, paint technique experiments and other evidence of their working process. The final artworks must utilize paint, however, alternative materials will be allowed in conjunction with traditional painting techniques. Through the development and making process students will acquire working methods, research skills and technical knowledge necessary to successfully realize their own artworks. They will also develop an understanding of abstraction in art and an awareness of its relevance in contemporary and historical art issues.

Attendance is a requirement as there are continual and formative assessments."
AAA18D,LIFE DRAWING,3,"This course introduces drawing of the nude human figure at a basic level through developing various first hand observation skills. Students will learn skills in measuring, proportion, tone, volume, negative space etc. By the end of this course, students will develop a competency in making drawings with a degree of accuracy to what is being observed. 

Attendance is a requirement as there are continual and formative assessments."
AAA18E,DRAWING,3,"This course introduces drawing at a basic level through developing various first hand observation skills. Students will create a range of drawings from portraits to still life depictions. Students will learn skills in measuring, proportion, tone, volume, negative space etc.  By the end of this course, students will develop a competency in making drawings with a degree of accuracy to what is being observed. 

Attendance is a requirement as there are continual and formative assessments."
AAA18H,PAINTING WITH OIL & ACRYLIC,3,"This course introduces painting at a basic level.
1.	Technical skills related to the pre-production, production and post-production of painting.
2.	Understanding of the elements of art and principles of design
3.	Some historical references to Fine Art Painting practice will be made.

Attendance is a requirement as there are continual and formative assessments."
AAA18J,PAINTING WITH WATERCOLOUR,3,"This course aims to highlight the beauty and ephemeral qualities of watercolour painting. Students will be progressively taught various techniques to achieve different results. There will be an emphasis on hands-on practice as well as keynotes on how to appreciate the visual qualities of watercolour paintings. Students will first be taught basic drawing and paintings skills, after which students are encouraged to take a more experimental and gestural approach to watercolour painting.

Attendance is a requirement as there are continual and formative assessments."
AAA18K,COMMUNICATION DESIGN,3,"This course introduces the study of communication design. 
1.	Technical skills related to the conceptualization and visual articulation of signs, images, symbols and composition.
2.	Understanding of the elements of art and principles of design
3.	Current and historical references to graphic design practice will be made.

Attendance is a requirement as there are continual and formative assessments."
AAA18L,SILKSCREEN PRINTING,3,"This course introduces silk screen printing at a basic level.
1.	Technical skills related to the pre-production, production and post-production of silkscreen.
2.	Understanding of the elements of art and principles of design
3.	Survey of graphic printing on paper and fabric.

Attendance is a requirement as there are continual and formative assessments."
AAA18M,BATIK,3,"This course introduces Batik at a basic level.
1.	Technical skills related to the pre-production, production and post-production of batik.
2.	Understanding of the elements of art and principles of design
3.	To learn about the historical references of Batik in relation to regional 

Attendance is a requirement as there are continual and formative assessments."
AAA18Q,PRINTMAKING,3,"Investigates image making through a range of printmaking techniques.

Attendance is a requirement as there are continual and formative assessments."
AAA18R,SCULPTURE,3,"A study of the skills and knowledge pertinent to three-dimensional art, allowing for exploration of contemporary sculptural practices.

Attendance is a requirement as there are continual and formative assessments."
AAA28C,DIGITAL MEDIA & VISUAL ARTS: STILL IMAGING,3,"Introduction to contemporary art making with digital imaging tools. Participants will experience first hand current art making methodologies through theme based works. The course will go through the processes of concept development, basic software tutorials, production and group critiques. Very basic knowledge of Adobe Photoshop and possession of any kind of Digital Still Camera is required."
AAA28E,VISUAL ARTS IN ASIA,3,"Introduction to the various art forms in Asia. Influences of historical background, philosophical beliefs and trade has on symbolism, forms and techniques of artistic practices.

Attendance is a requirement as there are continual and formative assessments."
AAA28J,DIGITAL MEDIA & VISUAL ARTS:MOVING IMAGE,3,"Introduction to contemporary art making with digital video tools. Participants will experience first hand current art making methodologies through themed based works. The course will go through the processes of concept development, basic software tutorials, production and group critiques. Very basic knowledge of any video editing software and possession of any kind of Digital Video Camera would be beneficial but not mandatory."
AAA28R,CERAMICS I,3,"This module will teach the participant skills for the production of clay works through the inquiry of various handbuilding techniques such as pinching, coiling and slabwork and finishing skills such as glazing and firing. By the end of this course students will accomplish small hand formed vessels. 

Attendance is a requirement as there are continual and formative assessments."
AAA28S,CERAMICS II,3,"This module will teach the participants hand building and `throwing' skills for the production of clay works made on the potter's wheel. Students will also experience finishing skills such as glazing and firing and by the end of this course students will accomplish small hand thrown vessels. 

Attendance is a requirement as there are continual and formative assessments."
AAB20D,ECOLOGY,3,"This course builds upon basic biological knowledge covered in foundational undergraduate courses, and focuses on the dynamics of species populations, and the interactions between organisms and their environment.  Besides covering the theory and mechanisms in the respective concepts, the course explicitly links the former to real-world phenomena and applications.  Topics are taught with linkages to the current school curricula."
AAC18A,CHINESE CALLIGRAPHY,3,Origin and development of Chinese calligraphy; various styles; lives and styles of prominent calligraphers; the use of the Chinese brush; techniques in writing the basic strokes; demonstrations and practices.
AAD08A,MALAY IN CONTEXT,3,"This course examines how Malay works in a wide range of contexts, including the media, fiction, academic writing and everyday conversation. It provides a beginner's framework and meta-language for talking about how written and oral communications can be adapted in ways, which present our message and us in different lights. The aim is to enable you to make systematic and critical observations of language as they use and encounter it in different contexts."
