degree,stratum,job_id,job_title,job_categories,system_score,human_label,annotator_notes
Microbiology and Immunology,high,MCF-2026-0160236,Microbiology (MNC) #HMS,Sciences / Laboratory / R&D,0.3654,,
Microbiology and Immunology,high,MCF-2026-0190584,"Contract Associate Scientist, Cell Culture (Biologics) - Up to $4K #HHL","Environment / Health, Healthcare / Pharmaceutical, Medical / Therapy Services, Sciences / Laboratory / R&D",0.3379,,
Microbiology and Immunology,high,MCF-2025-1991434,Dr Zhang Dan Group: Assistant Research Officer/ Research Officer,Sciences / Laboratory / R&D,0.3629,,
Microbiology and Immunology,high,MCF-2026-0191216,Associate Scientist – Cell Culture (1 yr contract/PHARMA MNC) - Entry Level/West #HAO,"Healthcare / Pharmaceutical, Sciences / Laboratory / R&D",0.3422,,
Microbiology and Immunology,high,MCF-2026-0191331,(Principal) Senior Medical Laboratory Scientist (Dept of Lab Medicine) #HAL,"Environment / Health, Healthcare / Pharmaceutical",0.3714,,
Microbiology and Immunology,mid,MCF-2026-0159351,Research Fellow (Cellular Agriculture),Sciences / Laboratory / R&D,0.3239,,
Microbiology and Immunology,mid,MCF-2026-0180647,"Scientist II (Molecular Diagnostics), DxD Hub",Sciences / Laboratory / R&D,0.2914,,
Microbiology and Immunology,mid,MCF-2026-0177178,"Senior Scientific Support Specialist (Microbiology, up to $2.7K) #HTJ","Environment / Health, Healthcare / Pharmaceutical, Medical / Therapy Services, Sciences / Laboratory / R&D",0.2895,,
Microbiology and Immunology,mid,MCF-2026-0157324,"Junior Scientist (Discovery Chemistry), EDDC",Sciences / Laboratory / R&D,0.3071,,
Microbiology and Immunology,mid,MCF-2026-0180719,"Scientist II (Molecular Diagnostics), DxD Hub",Sciences / Laboratory / R&D,0.2903,,
Microbiology and Immunology,low,MCF-2026-0167707,Class Support cum Bus Attendant | Bedok | 5 Days | Up To $2.3K - 4461,Education and Training,0.0292,,
Microbiology and Immunology,low,MCF-2026-0164713,Presales Solution Architect,Information Technology,0.0192,,
Microbiology and Immunology,low,MCF-2025-1976917,E-commerce Admin cum Packer (5.5 days) [EL],Admin / Secretarial,0.0128,,
Microbiology and Immunology,low,MCF-2026-0175897,Business Analyst (Insurance / Agile),Information Technology,0.0488,,
Microbiology and Immunology,low,MCF-2026-0182705,Change Management Specialist #ESY,"Banking and Finance, Human Resources",0.0544,,
NUS-ISS,high,MCF-2026-0182886,Software Engineer (Contract / Banking),Information Technology,0.4075,,
NUS-ISS,high,MCF-2026-0155435,Software Developer,Information Technology,0.3976,,
NUS-ISS,high,MCF-2026-0173818,System Analyst,Information Technology,0.3981,,
NUS-ISS,high,MCF-2026-0170922,"Software Engineers(Java, Many Vacancies)","Banking and Finance, Engineering, Information Technology, Manufacturing, Professional Services",0.4024,,
NUS-ISS,high,MCF-2026-0165432,Software Developer,Information Technology,0.4146,,
NUS-ISS,mid,MCF-2026-0189058,Software Engineer,Information Technology,0.3971,,
NUS-ISS,mid,MCF-2025-1801984,Software Engineer (Precision / Automation),"Engineering, Information Technology, Manufacturing",0.3841,,
NUS-ISS,mid,MCF-2025-1917833,IT Automation Tester,Information Technology,0.3859,,
NUS-ISS,mid,MCF-2026-0183395,Software Application Engineer - WCAN,Information Technology,0.3945,,
NUS-ISS,mid,MCF-2026-0166070,Software Engineer,Engineering,0.3843,,
NUS-ISS,low,MCF-2026-0179466,Chiller Technician,Engineering,0.1453,,
NUS-ISS,low,MCF-2026-0179646,EVENTS AND MARKETING (TRAVEL OPPORTUNITIES),"Marketing / Public Relations, Sales / Retail",0.1668,,
NUS-ISS,low,MCF-2026-0175766,SERVICE SALES COORDINATOR,General Management,0.137,,
NUS-ISS,low,MCF-2025-1443442,Operations Supervisor,"Customer Service, General Management",0.141,,
NUS-ISS,low,MCF-2026-0168324,Staff Nurse |Yishun | 6 days Rotating Shift  - YZ11,"Healthcare / Pharmaceutical, Medical / Therapy Services",0.0705,,
FASS DO/Office of Programmes,high,MCF-2026-0181857,Curriculum Development and Teaching Intern,Education and Training,0.3761,,
FASS DO/Office of Programmes,high,MCF-2026-0163053,3 months HR - Researcher (Internship),Human Resources,0.4091,,
FASS DO/Office of Programmes,high,MCF-2026-0158539,Summer Internship Programme,"Consulting, Customer Service, General Management, Professional Services, Risk Management",0.3779,,
FASS DO/Office of Programmes,high,MCF-2026-0179166,Research Intern,"Consulting, General Management, Others",0.3628,,
FASS DO/Office of Programmes,high,MCF-2026-0177224,Intern (Finance and Investment),"Banking and Finance, Professional Services, Risk Management",0.3777,,
FASS DO/Office of Programmes,mid,MCF-2026-0174417,Compliance Intern (1 Year),Banking and Finance,0.357,,
FASS DO/Office of Programmes,mid,MCF-2026-0167997,Management Executive |School |Hillcrest Road,"Admin / Secretarial, Customer Service, Education and Training, General Work, Others",0.3494,,
FASS DO/Office of Programmes,mid,MCF-2026-0182667,IT Support Engineer - 1 year contract,Education and Training,0.3376,,
FASS DO/Office of Programmes,mid,MCF-2026-0165052,Marketing Intern,"Advertising / Media, Design, Marketing / Public Relations",0.3342,,
FASS DO/Office of Programmes,mid,MCF-2026-0170566,Student Advisor (Full-Time / Part-Time),"Accounting / Auditing / Taxation, Banking and Finance, General Management, Insurance, Sales / Retail",0.3318,,
FASS DO/Office of Programmes,low,MCF-2026-0158852,Service Technician,"Consulting, Customer Service, Environment / Health, General Work",0.1,,
FASS DO/Office of Programmes,low,MCF-2026-0170633,Motorcycle Mechanic #81298,"Repair and Maintenance, Others",0.1219,,
FASS DO/Office of Programmes,low,MCF-2026-0157334,Electro-Technical Officer,Logistics / Supply Chain,0.171,,
FASS DO/Office of Programmes,low,MCF-2026-0163728,Beauty and Wellness Sales Consultant/Manager,Sales / Retail,0.1642,,
FASS DO/Office of Programmes,low,MCF-2026-0043869,14ft Truck Driver,Logistics / Supply Chain,0.1145,,
BIZ Dean's Office,high,MCF-2025-1869338,IGCSE/IBDP Business and Economics Teacher,Education and Training,0.3513,,
BIZ Dean's Office,high,MCF-2026-0173592,BUSINESS DEVELOPMENT INTERNSHIP (B2B),"Consulting, Education and Training, Marketing / Public Relations, Sales / Retail",0.3634,,
BIZ Dean's Office,high,MCF-2026-0158539,Summer Internship Programme,"Consulting, Customer Service, General Management, Professional Services, Risk Management",0.3803,,
